match_id,steam_id,total_money_per_map,total_money
63600,76561198089905186,81100.0,243300
63600,76561198122668381,81100.0,243300
63600,76561198132385509,79500.0,238500
63600,76561198148370785,78150.0,234450
63600,76561198171719689,82716.66666666667,248150
63600,76561198199086218,77883.33333333333,233650
63600,76561198203239207,83000.0,249000
63600,76561198210934463,83033.33333333333,249100
63600,76561198334814829,81450.0,244350
63600,76561198976995212,79350.0,238050
63601,76561198009411160,69133.33333333333,207400
63601,76561198014798263,66733.33333333333,200200
63601,76561198048221584,68466.66666666667,205400
63601,76561198061763596,68200.0,204600
63601,76561198073183768,69300.0,207900
63601,76561198135458990,69333.33333333333,208000
63601,76561198139312718,65800.0,197400
63601,76561198209342312,70866.66666666667,212600
63601,76561198222914476,71900.0,215700
63601,76561198330512296,67466.66666666667,202400
63602,76561198017973195,81050.0,243150
63602,76561198029254266,83783.33333333333,251350
63602,76561198068642043,81266.66666666667,243800
63602,76561198087210693,82400.0,247200
63602,76561198150037027,81316.66666666667,243950
63602,76561198174635763,80016.66666666667,240050
63602,76561198253022323,79966.66666666667,239900
63602,76561198279427248,80583.33333333333,241750
63602,76561198400479094,80466.66666666667,241400
63602,76561198797921927,78966.66666666667,236900
63603,76561197961610974,74250.0,74250
63603,76561197989423065,78950.0,78950
63603,76561197999584343,74750.0,74750
63603,76561198041416993,77950.0,77950
63603,76561198063336407,81050.0,81050
63603,76561198098463229,69600.0,69600
63603,76561198132395935,74200.0,74200
63603,76561198155962995,77500.0,77500
63603,76561198156197967,72600.0,72600
63603,76561198175704447,71500.0,71500
63604,76561198074762801,67200.0,67200
63604,76561198085180615,70350.0,70350
63604,76561198132026180,68600.0,68600
63604,76561198138113790,65650.0,65650
63604,76561198152075689,65450.0,65450
63604,76561198215214621,63750.0,63750
63604,76561198231549032,67400.0,67400
63604,76561198260959350,64550.0,64550
63604,76561198315239020,67100.0,67100
63604,76561198449485596,66800.0,66800
63605,76561197961134282,75000.0,150000
63605,76561197962903163,70975.0,141950
63605,76561197975129851,69725.0,139450
63605,76561198000827804,78700.0,157400
63605,76561198021715100,68575.0,137150
63605,76561198040577200,76200.0,152400
63605,76561198045898864,76600.0,153200
63605,76561198047472534,68025.0,136050
63605,76561198272723319,70825.0,141650
63605,76561198799340122,74300.0,148600
63606,76561197968389863,83600.0,83600
63606,76561197978321481,81450.0,81450
63606,76561197994395491,82450.0,82450
63606,76561197997981170,81050.0,81050
63606,76561198012987839,80550.0,80550
63606,76561198018393639,84800.0,84800
63606,76561198047402862,84750.0,84750
63606,76561198079058263,86900.0,86900
63606,76561198309839541,85900.0,85900
63606,76561198417348056,83300.0,83300
63607,76561197960710573,55500.0,55500
63607,76561198013295375,56100.0,56100
63607,76561198031890115,57600.0,57600
63607,76561198035581101,57400.0,57400
63607,76561198047876970,58500.0,58500
63607,76561198085180615,65050.0,65050
63607,76561198138113790,65350.0,65350
63607,76561198152075689,63650.0,63650
63607,76561198215214621,66450.0,66450
63607,76561198260959350,65050.0,65050
63608,76561197960499780,77350.0,232050
63608,76561197960725934,79483.33333333333,238450
63608,76561197998730533,82833.33333333333,248500
63608,76561198003846563,79216.66666666667,237650
63608,76561198005018258,82733.33333333333,248200
63608,76561198027192574,80683.33333333333,242050
63608,76561198028522662,79566.66666666667,238700
63608,76561198030357563,81900.0,245700
63608,76561198082474142,80100.0,240300
63608,76561198150702257,80250.0,240750
63609,76561197998730533,66150.0,132300
63609,76561198005018258,65100.0,130200
63609,76561198028522662,64250.0,128500
63609,76561198030357563,64800.0,129600
63609,76561198082474142,63450.0,126900
63609,76561198139315962,69275.0,138550
63609,76561198187845995,68075.0,136150
63609,76561198212208204,65375.0,130750
63609,76561198238366860,66125.0,132250
63609,76561198282160804,68225.0,136450
63610,76561197989582314,63550.0,127100
63610,76561197991047689,55150.0,110300
63610,76561198000772409,63800.0,127600
63610,76561198038447085,55700.0,111400
63610,76561198038749098,64350.0,128700
63610,76561198066795281,56100.0,112200
63610,76561198082467854,57100.0,114200
63610,76561198092328908,66200.0,132400
63610,76561198097860231,62700.0,125400
63610,76561198176618518,54750.0,109500
63611,76561197966776579,70366.66666666667,211100
63611,76561197999166836,68300.0,204900
63611,76561198018591028,67483.33333333333,202450
63611,76561198035708913,66550.0,199650
63611,76561198050312580,72066.66666666667,216200
63611,76561198065008765,66883.33333333333,200650
63611,76561198137707080,67450.0,202350
63611,76561198267298363,71166.66666666667,213500
63611,76561198288837772,70300.0,210900
63611,76561198326172243,66883.33333333333,200650
63612,76561197973730803,84000.0,84000
63612,76561197991451104,85800.0,85800
63612,76561198010975327,87300.0,87300
63612,76561198053792941,79450.0,79450
63612,76561198064353169,80300.0,80300
63612,76561198079302524,80450.0,80450
63612,76561198084163512,76750.0,76750
63612,76561198118196092,83700.0,83700
63612,76561198308151025,77350.0,77350
63612,76561199161452558,79750.0,79750
63613,76561197960499780,66950.0,200850
63613,76561197960725934,67650.0,202950
63613,76561198003846563,68850.0,206550
63613,76561198011507915,70333.33333333333,211000
63613,76561198027192574,70783.33333333333,212350
63613,76561198029492496,71833.33333333333,215500
63613,76561198114429410,70033.33333333333,210100
63613,76561198150673360,70600.0,211800
63613,76561198150702257,68250.0,204750
63613,76561198156373160,71500.0,214500
63614,76561197963481649,63316.666666666664,189950
63614,76561197979168983,64216.666666666664,192650
63614,76561198024347602,61783.333333333336,185350
63614,76561198042801684,63150.0,189450
63614,76561198047137065,60883.333333333336,182650
63614,76561198052888143,66650.0,199950
63614,76561198060490349,60750.0,182250
63614,76561198156758030,61016.666666666664,183050
63614,76561198163665188,62616.666666666664,187850
63614,76561198196356515,65483.333333333336,196450
63615,76561198011507915,74966.66666666667,224900
63615,76561198029492496,76400.0,229200
63615,76561198114429410,75766.66666666667,227300
63615,76561198139315962,71966.66666666667,215900
63615,76561198150673360,76133.33333333333,228400
63615,76561198156373160,75066.66666666667,225200
63615,76561198187845995,70800.0,212400
63615,76561198212208204,70266.66666666667,210800
63615,76561198238366860,69200.0,207600
63615,76561198282160804,70133.33333333333,210400
63616,76561197961610974,77100.0,154200
63616,76561197989423065,77000.0,154000
63616,76561197999584343,78300.0,156600
63616,76561198041416993,79700.0,159400
63616,76561198063336407,80500.0,161000
63616,76561198085180615,82425.0,164850
63616,76561198138113790,83975.0,167950
63616,76561198152075689,82275.0,164550
63616,76561198215214621,83925.0,167850
63616,76561198260959350,83025.0,166050
63617,76561198028292758,69600.0,139200
63617,76561198045433304,64850.0,129700
63617,76561198046582213,57975.0,115950
63617,76561198059714128,66250.0,132500
63617,76561198081484775,65650.0,131300
63617,76561198103921828,57475.0,114950
63617,76561198110839613,57975.0,115950
63617,76561198139039223,58475.0,116950
63617,76561198141288112,57725.0,115450
63617,76561198208074320,63450.0,126900
63618,76561197962148507,85100.0,85100
63618,76561197971119322,79200.0,79200
63618,76561197994657430,83400.0,83400
63618,76561198027348753,82800.0,82800
63618,76561198031908632,77400.0,77400
63618,76561198036033549,81500.0,81500
63618,76561198051727799,76800.0,76800
63618,76561198094488464,78100.0,78100
63618,76561198146202997,84600.0,84600
63618,76561198210763837,84500.0,84500
63619,76561197991584421,81875.0,163750
63619,76561197991593267,88800.0,177600
63619,76561197999432166,81475.0,162950
63619,76561198002941469,79725.0,159450
63619,76561198018619809,101050.0,101050
63619,76561198084607254,87150.0,174300
63619,76561198156369374,73650.0,73650
63619,76561198176878303,86900.0,173800
63619,76561198260828002,82675.0,165350
63619,76561198964969699,81575.0,163150
63619,76561198975452660,89450.0,178900
63620,76561198009176907,81650.0,81650
63620,76561198049144512,83950.0,83950
63620,76561198157151718,81350.0,81350
63620,76561198186361079,77550.0,77550
63620,76561198207163345,87750.0,87750
63620,76561198303381179,79950.0,79950
63620,76561198306633362,80450.0,80450
63620,76561198316792628,79050.0,79050
63620,76561198799643789,82650.0,82650
63620,76561199084598444,82250.0,82250
63621,76561197962205264,75825.0,151650
63621,76561197992096398,77175.0,154350
63621,76561198009411160,83800.0,167600
63621,76561198014798263,83200.0,166400
63621,76561198048221584,81650.0,163300
63621,76561198061763596,82900.0,165800
63621,76561198139312718,80350.0,160700
63621,76561198160794709,77325.0,154650
63621,76561198203405731,78725.0,157450
63621,76561198228964552,76575.0,153150
63622,76561197991593267,75350.0,150700
63622,76561198009411160,73600.0,147200
63622,76561198014798263,71550.0,143100
63622,76561198018619809,84400.0,84400
63622,76561198048221584,69650.0,139300
63622,76561198061763596,71550.0,143100
63622,76561198084607254,73750.0,147500
63622,76561198139312718,71100.0,142200
63622,76561198156369374,75950.0,151900
63622,76561198176878303,78500.0,157000
63622,76561198975452660,65000.0,65000
63623,76561197996370184,82975.0,165950
63623,76561198010496342,80450.0,160900
63623,76561198018379400,79250.0,158500
63623,76561198043769572,83225.0,166450
63623,76561198050335184,78850.0,157700
63623,76561198058500492,85475.0,170950
63623,76561198064058958,80925.0,161850
63623,76561198067763828,82800.0,165600
63623,76561198138460341,79100.0,158200
63623,76561198164970560,83975.0,167950
63624,76561197962205264,82725.0,165450
63624,76561197991584421,85650.0,171300
63624,76561197992096398,82275.0,164550
63624,76561197999432166,84900.0,169800
63624,76561198002941469,80950.0,161900
63624,76561198160794709,82675.0,165350
63624,76561198203405731,84675.0,169350
63624,76561198228964552,80825.0,161650
63624,76561198260828002,83050.0,166100
63624,76561198964969699,80200.0,160400
